@RELATION candidateDonations
@ATTRIBUTE state {FL,IL,NY}
@ATTRIBUTE urbanOrRural {0,1}
@ATTRIBUTE caucasionPercentage {0,1}
@ATTRIBUTE africanPercentage {0,1}
@ATTRIBUTE hispanicPercentage {0,1}
@ATTRIBUTE asianPercentage {0,1}
@ATTRIBUTE othersPercentage {0,1}
@ATTRIBUTE maleYouthPercentage {0,1}
@ATTRIBUTE maleMiddleagePercentage {0,1}
@ATTRIBUTE maleElderPercentage {0,1}
@ATTRIBUTE femaleYouthPercentage {0,1}
@ATTRIBUTE femaleMiddleagePercentage {0,1}
@ATTRIBUTE femaleElderPercentage {0,1}
@ATTRIBUTE immigrationPercentage {0,1}
@ATTRIBUTE newImmigrationPercentage {0,1}
@ATTRIBUTE malePrivateEducationPercentage {0,1}
@ATTRIBUTE femalePrivateEducationPercentage {0,1}
@ATTRIBUTE maleAdultWellEducatedPercentage {0,1}
@ATTRIBUTE femaleAdultWellEducatedPercentage {0,1}
@ATTRIBUTE medianHouseholdIncome {lowerClass, middleClass, upperClass}
@ATTRIBUTE medianNumberOfRoomsPerHouse {small, medium, large}
@ATTRIBUTE homoPercentage {0,1}
@ATTRIBUTE populationInFamilyPercentage {0,1}
@ATTRIBUTE amount {lessThan500, from500to1000, moreThan1000}
@ATTRIBUTE candidate {Romney, Obama, Guiliani, Clinton}
@DATA
NY,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,upperClass,large,0,1,moreThan1000,Clinton
NY,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,lowerClass,medium,1,0,lessThan500,Obama
NY,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,middleClass,medium,0,0,moreThan1000,Guiliani
NY,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,middleClass,small,1,0,moreThan1000,Obama
NY,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,upperClass,small,0,0,from500to1000,Romney
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,upperClass,large,0,1,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,upperClass,large,0,1,moreThan1000,Clinton
NY,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,middleClass,medium,0,1,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,upperClass,large,0,1,moreThan1000,Obama
NY,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,middleClass,small,0,0,moreThan1000,Clinton
NY,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,upperClass,large,0,1,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,middleClass,small,1,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,middleClass,small,0,0,moreThan1000,Obama
NY,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,upperClass,large,0,1,moreThan1000,Guiliani
NY,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,middleClass,small,1,0,from500to1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,lessThan500,Clinton
NY,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,lowerClass,medium,0,0,lessThan500,Clinton
NY,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,middleClass,medium,0,0,from500to1000,Guiliani
NY,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Obama
NY,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,lowerClass,small,1,0,from500to1000,Romney
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,upperClass,large,0,1,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Romney
NY,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,lowerClass,medium,1,0,from500to1000,Obama
NY,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,lowerClass,medium,0,0,from500to1000,Obama
NY,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,upperClass,small,0,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,middleClass,small,1,0,lessThan500,Obama
NY,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,lowerClass,medium,1,0,lessThan500,Clinton
NY,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,middleClass,large,0,1,moreThan1000,Guiliani
NY,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,upperClass,large,0,1,moreThan1000,Guiliani
NY,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,middleClass,small,1,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Obama
NY,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,lowerClass,medium,0,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,middleClass,small,0,0,from500to1000,Guiliani
NY,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,middleClass,small,1,0,moreThan1000,Obama
NY,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,lessThan500,Guiliani
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,lessThan500,Clinton
NY,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,lowerClass,small,1,0,moreThan1000,Clinton
NY,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,lowerClass,medium,1,0,moreThan1000,Guiliani
NY,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,lowerClass,small,1,0,moreThan1000,Obama
NY,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,middleClass,medium,0,1,lessThan500,Clinton
NY,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,upperClass,small,1,0,lessThan500,Obama
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,upperClass,small,0,0,lessThan500,Clinton
NY,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,middleClass,small,1,0,lessThan500,Clinton
NY,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,lowerClass,medium,0,1,lessThan500,Obama
NY,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Obama
NY,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,lowerClass,medium,0,0,moreThan1000,Clinton
NY,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,upperClass,small,1,0,moreThan1000,Obama
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,upperClass,large,0,1,moreThan1000,Clinton
NY,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,upperClass,large,0,1,moreThan1000,Romney
NY,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,lowerClass,small,1,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,upperClass,small,0,0,lessThan500,Clinton
NY,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,middleClass,large,0,1,lessThan500,Romney
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,upperClass,small,0,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,middleClass,small,1,0,from500to1000,Clinton
NY,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,middleClass,small,0,0,moreThan1000,Obama
NY,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,upperClass,large,1,1,moreThan1000,Guiliani
NY,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,middleClass,large,0,1,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,upperClass,small,0,0,lessThan500,Clinton
NY,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,middleClass,medium,0,0,moreThan1000,Obama
NY,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,upperClass,large,0,1,from500to1000,Obama
NY,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,lowerClass,small,1,0,moreThan1000,Clinton
NY,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,lowerClass,medium,0,1,moreThan1000,Guiliani
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Obama
NY,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,lowerClass,medium,0,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,lessThan500,Romney
NY,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,lowerClass,medium,0,0,moreThan1000,Guiliani
NY,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,middleClass,medium,0,1,lessThan500,Clinton
NY,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,lowerClass,small,0,0,from500to1000,Clinton
NY,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,middleClass,large,0,1,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,upperClass,large,0,1,moreThan1000,Clinton
NY,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,middleClass,large,0,0,lessThan500,Guiliani
NY,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,lowerClass,medium,0,1,moreThan1000,Clinton
NY,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,lowerClass,medium,0,0,moreThan1000,Guiliani
NY,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,middleClass,medium,0,1,moreThan1000,Obama
NY,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,upperClass,large,0,1,moreThan1000,Guiliani
NY,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,middleClass,small,1,0,moreThan1000,Clinton
NY,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,lowerClass,medium,0,0,moreThan1000,Guiliani
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Guiliani
NY,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,middleClass,small,1,0,moreThan1000,Obama
NY,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,middleClass,large,0,1,moreThan1000,Guiliani
NY,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,upperClass,large,0,1,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Obama
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Romney
NY,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,middleClass,large,0,0,lessThan500,Clinton
NY,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,middleClass,large,0,1,moreThan1000,Guiliani
NY,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,lowerClass,small,1,0,lessThan500,Obama
NY,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,middleClass,medium,0,0,moreThan1000,Obama
NY,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,upperClass,small,1,0,moreThan1000,Guiliani
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,middleClass,small,0,0,from500to1000,Obama
NY,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,middleClass,small,1,0,lessThan500,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Obama
NY,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,upperClass,large,0,1,moreThan1000,Obama
NY,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,middleClass,medium,0,1,lessThan500,Obama
NY,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,middleClass,medium,0,0,moreThan1000,Obama
NY,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,lowerClass,small,1,0,moreThan1000,Guiliani
NY,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,middleClass,small,1,0,moreThan1000,Clinton
NY,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,upperClass,large,0,1,lessThan500,Clinton
NY,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,middleClass,small,1,0,moreThan1000,Clinton
NY,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,lowerClass,small,0,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,lessThan500,Guiliani
NY,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,upperClass,large,0,1,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,upperClass,small,0,0,from500to1000,Clinton
NY,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,upperClass,large,0,1,from500to1000,Clinton
NY,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,middleClass,small,1,0,moreThan1000,Obama
NY,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,middleClass,small,1,0,moreThan1000,Clinton
NY,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,middleClass,small,1,0,moreThan1000,Clinton
NY,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,upperClass,large,0,1,moreThan1000,Obama
NY,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,middleClass,small,1,0,from500to1000,Romney
NY,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,lowerClass,medium,0,0,from500to1000,Guiliani
NY,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,upperClass,large,0,1,moreThan1000,Guiliani
NY,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,middleClass,small,0,0,moreThan1000,Obama
NY,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,middleClass,large,0,1,lessThan500,Guiliani
NY,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,upperClass,small,0,0,moreThan1000,Guiliani
NY,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,middleClass,small,1,0,lessThan500,Clinton
NY,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,middleClass,medium,1,1,lessThan500,Obama
NY,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,middleClass,medium,0,1,from500to1000,Clinton
NY,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,middleClass,small,1,0,lessThan500,Clinton
NY,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,upperClass,large,0,1,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,upperClass,large,0,1,moreThan1000,Obama
NY,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,middleClass,medium,0,0,lessThan500,Guiliani
NY,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,upperClass,large,0,1,moreThan1000,Guiliani
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,upperClass,small,0,0,moreThan1000,Obama
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Clinton
NY,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,lowerClass,medium,0,0,moreThan1000,Guiliani
NY,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,lowerClass,medium,0,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,middleClass,small,1,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,upperClass,large,0,1,from500to1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,upperClass,small,0,0,moreThan1000,Obama
NY,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,middleClass,small,0,0,moreThan1000,Clinton
NY,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,lowerClass,medium,0,0,moreThan1000,Guiliani
NY,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,middleClass,small,1,0,moreThan1000,Guiliani
NY,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,lowerClass,small,1,0,moreThan1000,Clinton
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,upperClass,small,0,0,moreThan1000,Clinton
NY,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,upperClass,medium,0,1,moreThan1000,Guiliani
NY,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,middleClass,medium,0,0,moreThan1000,Clinton
NY,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,lowerClass,small,0,0,moreThan1000,Guiliani
NY,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,lowerClass,small,0,0,lessThan500,Guiliani
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Clinton
NY,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,upperClass,small,1,0,lessThan500,Romney
NY,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,lowerClass,medium,0,0,moreThan1000,Clinton
NY,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,middleClass,medium,0,1,from500to1000,Guiliani
NY,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,lowerClass,medium,0,0,moreThan1000,Guiliani
NY,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,middleClass,large,0,0,lessThan500,Guiliani
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,middleClass,small,1,0,moreThan1000,Obama
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,upperClass,small,0,0,moreThan1000,Romney
NY,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,upperClass,large,0,1,moreThan1000,Clinton
NY,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,middleClass,medium,1,0,moreThan1000,Obama
NY,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,middleClass,small,1,0,moreThan1000,Obama
NY,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,middleClass,small,0,0,moreThan1000,Obama
NY,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,lowerClass,medium,0,0,moreThan1000,Clinton
NY,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,lowerClass,small,1,0,moreThan1000,Romney
NY,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,middleClass,medium,0,1,moreThan1000,Obama
NY,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,upperClass,small,1,0,from500to1000,Romney
NY,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,middleClass,small,1,0,moreThan1000,Guiliani
NY,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,lowerClass,small,1,0,from500to1000,Obama
NY,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,upperClass,small,0,0,moreThan1000,Clinton
NY,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,lowerClass,small,1,0,moreThan1000,Romney
NY,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,middleClass,small,0,0,moreThan1000,Obama
NY,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,lowerClass,small,1,0,moreThan1000,Clinton
